Nome,Departamento,Cargo,Data_Admissao
Ana Silva,Vendas,Senior,15/03/2018
Carlos Santos,Vendas,Pleno,2020-10-07 00:00:00
Mariana Costa,Marketing,Senior,2015-02-01 00:00:00
João Pereira,TI,Junior,20/11/2022
Fernanda Lima,TI,Pleno,2019-05-05 00:00:00
Roberto Alves,Vendas,Junior,2023-12-08 00:00:00
Patrícia Souza,Marketing,Pleno,18/09/2020
Lucas Oliveira,TI,Senior,22/11/2016
Camila Rocha,Vendas,Pleno,30/04/2021
André Ferreira,Marketing,Junior,2023-05-01 00:00:00
Beatriz Martins,TI,Pleno,14/06/2019
Daniel Costa,Vendas,Senior,2014-10-10 00:00:00
Elisa Nunes,Marketing,Senior,25/03/2017
Felipe Gomes,TI,Junior,2022-08-02 00:00:00
Gabriela Dias,Vendas,Pleno,17/11/2020
